0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ExtraTreesRegressor,RandomForestRegressor,DecisionTreeRegressor,ExtraTreeRegressor,KNeighborsRegressor,GradientBoostingRegressor,SVR,AdaBoostRegressor,ElasticNetCV,KernelRidge,Ridge,LassoCV,RidgeCV,LinearRegression,SGDRegressor,LinearSVR,Lasso
0.8752045078858683,0.8670775642701871,0.7734418396381273,0.7467327445305103,0.7254035435735884,0.7103917147120138,0.5865095662379763,0.5385730959153368,0.46784379252801744,0.46690494266806093,0.46528414805470475,0.46412954377791893,0.4635628954648421,0.46332120155351153,0.4536724379305632,0.45201857896822284,0.1684703420354825
